,Mountain,Metres,Feet,Range,Location,Note,latlng
538,Jbel Toubkal,4167.0,13671,,"Atlas Mountains, Morocco",", Atlas Mountains, Morocco","[31.060770000000048, -7.915829999999971]"
539,Mount Minto,4165.0,13665,,Antarctica,", Antarctica","[59.932720000000074, -133.90353999999996]"
540,Breithorn (Western Summit),4164.0,13661,,"Pennine Alps, Switzerland/Italy",", Pennine Alps, Switzerland/Italy","[42.69647000000003, -73.06620999999996]"
541,Jungfrau,4158.0,13642,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.53678000000008, 7.962590000000034]"
542,Bishorn,4153.0,13625,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.11791000000005, 7.714960000000076]"
543,Mount Helen,4151.0,13619,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[-37.6244037, 143.878865]"
544,El Mela,4150.0,13615,,"Andes, Argentina",", Andes, Argentina","[-28.86752999999993, -67.12508999999994]"
545,Mount Quincy Adams,4150.0,13615,,"Fairweather Range, Canada/US",", Fairweather Range, Canada/US","[58.90836000000007, -137.47324999999995]"
546,Doublet Peak,4145.0,13599,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[43.16328000000004, -109.62958999999995]"
547,Turret Peak,4145.0,13599,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[34.24809000000005, -111.86486999999994]"
548,Mount Parnassus (Colorado),4137.0,13573,,"Front Range, Rocky Mountains, Colorado, US",", Front Range, Rocky Mountains, Colorado, US","[39.71999000000005, -105.82250999999997]"
549,Uludoruk (Reşko / Gelyaşin),4137.0,13573,,"Cilo Daglari Hakkari, Turkey",", Cilo Daglari Hakkari, Turkey",
550,Mount Sacagawea,4136.0,13570,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[43.13662000000005, -109.62486999999999]"
551,Mount Dubois,4135.0,13566,,"White Mountains, California, US",", White Mountains, California, US","[37.78326000000004, -118.34316999999999]"
552,Mount Muhabura,4127.0,13540,,"Virunga Mountains, Musanze, Rwanda",", Virunga Mountains, Musanze, Rwanda","[-1.3805999999999585, 29.67730000000006]"
553,Kings Peak,4125.0,13533,,"Uinta Range, Utah, US",", Uinta Range, Utah, US","[-17.3252529, 30.1397118]"
554,Aiguille Verte,4122.0,13524,,"Mont Blanc massif, France",", Mont Blanc massif, France","[45.93590000000006, 6.96915000000007]"
555,Mount Bangeta,4121.0,13520,,Papua New Guinea,", Papua New Guinea","[-6.316669999999931, 147.08333000000005]"
556,Mount Dickerson,4120.0,13517,,"Queen Alexandra Range, Antarctica",", Queen Alexandra Range, Antarctica","[40.48748000000006, -105.56582999999995]"
557,Monte Tlaloc,4120.0,13517,,"Mexican Volcanic Belt, Mexico – Archaeological ruins at summit",", Mexican Volcanic Belt, Mexico – Archaeological ruins at summit","[24.75973294338199, -107.3545888705899]"
558,Jackson Peak,4120.0,13517,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[38.62074000000007, -122.19719999999995]"
559,Cilo Dağı,4116.0,13504,,"Cilo Range, Eastern Taurus, Turkey",", Cilo Range, Eastern Taurus, Turkey","[37.51028000000008, 43.97963000000004]"
560,Mount Woodrow Wilson,4115.0,13501,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[43.166900000000055, -109.65153999999995]"
561,Aiguilles du Diable,4114.0,13497,,"Graian Alps, Mont Blanc massif, France",", Graian Alps, Mont Blanc massif, France","[-35.64378260899997, 176.02524049300007]"
562,Bastion Peak,4113.0,13494,,"Wind River Range, Wyoming",", Wind River Range, Wyoming","[43.206060000000036, -109.66486999999995]"
563,Aiguille Blanche de Peuterey,4112.0,13491,,"Mont Blanc massif, Italy",", Mont Blanc massif, Italy","[45.804899, 6.9234307]"
564,Mönch,4107.0,13474,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.55850000000004, 7.997270000000071]"
565,Mount Febbas,4105.0,13468,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[43.176060000000064, -109.60153999999994]"
566,Barre des Écrins,4102.0,13458,,"Dauphiné Alps, France",", Dauphiné Alps, France","[44.922250000000076, 6.359330000000057]"
567,Mount Aragats,4095.0,13435,,Armenia,", Armenia","[40.52284000000003, 44.195340000000044]"
568,Mount Cameroon,4095.0,13435,,Cameroon,", Cameroon","[4.0526993, 9.7332197]"
569,Mount Kinabalu,4095.0,13435,,"Sabah, Malaysia – Highest in Malaysia",", Sabah, Malaysia – Highest in Malaysia","[6.074580000000026, 116.55820000000006]"
570,Grizzly Peak D,4093.0,13428,,"Front Range, Rocky Mountains, Colorado, US",", Front Range, Rocky Mountains, Colorado, US","[38.632406, -120.544093]"
571,Pollux,4092.0,13425,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[51.9207976, 4.3185916]"
572,Mount Wade,4085.0,13402,,"Prince Olav Mountains, Antarctica",", Prince Olav Mountains, Antarctica","[59.80877000000004, -138.66803]"
573,Nairamdal Peak,4082.0,13392,,"Altai Mountains, Mongolia",", Altai Mountains, Mongolia","[49.14985000000007, 87.73038000000008]"
574,Mount Victoria,4072.0,13360,,Papua New Guinea,", Papua New Guinea","[-33.5899062, 150.2557707]"
575,Centennial Peak,4070.0,13353,,"Prince Olav Mountains, Antarctica",", Prince Olav Mountains, Antarctica","[36.62772000000007, -118.49008999999995]"
576,Gran Paradiso,4061.0,13323,,"Graian Alps, Italy",", Graian Alps, Italy","[40.603598000000034, -73.65065299999998]"
577,Ober Gabelhorn,4053.0,13297,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.03855000000004, 7.668050000000051]"
578,Piz Bernina,4049.0,13284,,"Bernina Alps, Switzerland",", Bernina Alps, Switzerland","[46.38235000000003, 9.908060000000035]"
579,Fiescherhorn,4049.0,13284,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.55463000000003, 8.078500000000076]"
580,Grünhorn,4043.0,13264,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[54.3687444, 8.7609393]"
581,Lauteraarhorn,4042.0,13261,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.58327000000003, 8.128360000000043]"
582,Aiguille du Géant,4035.0,13238,,"Graian Alps, Mont Blanc massif, France",", Graian Alps, Mont Blanc massif, France","[12.297400000000039, 43.183260000000075]"
583,Mount Silverthrone,4030.0,13222,,"Alaska Range, Alaska, US",", Alaska Range, Alaska, US","[63.11611000000005, -150.67443999999998]"
584,Mount Sniktau,4034.0,13235,,"Front Range, Rocky Mountains, Colorado, US",", Front Range, Rocky Mountains, Colorado, US","[39.67832000000004, -105.85778999999997]"
585,Azufral,4030.0,13222,,Colombia,", Colombia","[10.351350000000025, -67.15280999999999]"
586,Allalinhorn,4027.0,13212,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.04609000000005, 7.894600000000025]"
587,Wind River Peak,4021.0,13192,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[42.708560000000034, -109.12817999999999]"
588,Latsga,4019.0,13186,,"Caucasus Mountains, Svaneti, Georgia",", Caucasus Mountains, Svaneti, Georgia","[37.708750000000066, 21.560170000000028]"
589,Weissmies,4017.0,13179,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.12766000000005, 8.012000000000057]"
590,Mount Waddington,4016.0,13176,,"British Columbia, Canada",", British Columbia, Canada","[51.280901664000055, -125.83903783999995]"
591,Mount Marcus Baker,4016.0,13176,,"Chugach Range, Alaska, US",", Chugach Range, Alaska, US","[61.437290000000075, -147.75194999999997]"
592,Dôme de neige des Écrins,4015.0,13173,,"Dauphiné Alps, France",", Dauphiné Alps, France","[45.06832335451032, 5.053005920670638]"
593,Conejos Peak,4015.0,13173,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.28862000000004, -106.57086999999996]"
594,Dent du Géant,4013.0,13166,,"Mont Blanc massif, France/Italy",", Mont Blanc massif, France/Italy","[45.86100000000005, 6.951000000000022]"
595,Red Slate Mountain,4013.0,13166,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.50744000000003, -118.86928999999998]"
596,Cloud Peak,4013.0,13166,,"Big Horn Mountains, Wyoming, US",", Big Horn Mountains, Wyoming, US","[58.16139000000004, -153.03860999999998]"
597,Wheeler Peak,4012.0,13163,,"Sangre de Cristo Mountains, New Mexico, US",", Sangre de Cristo Mountains, New Mexico, US","[57.79000000000008, -133.94277999999997]"
598,Lagginhorn,4010.0,13156,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.15705000000003, 8.003080000000068]"
599,Twilight Peak,4010.0,13156,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.663050000000055, -107.72700999999995]"
600,Francs Peak,4009.0,13153,,"Absaroka Range, Wyoming, US",", Absaroka Range, Wyoming, US","[43.961340000000064, -109.33069999999998]"
601,Mount Lahili,4009.0,13153,,"Svaneti Range, Svaneti, Georgia",", Svaneti Range, Svaneti, Georgia","[43.002260000000035, 42.62092000000007]"
602,Mount Walter,4005.0,13140,,"New Mexico, US",", New Mexico, US","[36.56225000000006, -105.41444999999999]"
603,Les Droites,4000.0,13123,,"Mont Blanc massif, France",", Mont Blanc massif, France","[38.5157919, 22.5486938]"
604,Piz Zupò,3995.0,13107,,"Bernina Range, Switzerland",", Bernina Range, Switzerland","[46.36832000000004, 9.93118000000004]"
605,Truchas Peak,3994.0,13104,,"Sangre de Cristo Mountains, New Mexico",", Sangre de Cristo Mountains, New Mexico","[35.96253000000007, -105.64473999999996]"
606,Fletschhorn,3993.0,13100,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.16718000000003, 8.002490000000023]"
607,Mount Albert Edward,3990.0,13091,,Papua New Guinea,", Papua New Guinea","[49.677850000000035, -125.43141999999995]"
608,La Meije,3987.0,13081,,"Dauphiné Alps, France",", Dauphiné Alps, France","[45.00499000000008, 6.3082200000000626]"
609,Wheeler Peak,3982.0,13064,,"Snake Range, Nevada",", Snake Range, Nevada","[57.79000000000008, -133.94277999999997]"
610,Mount Dana,3981.0,13061,,California,", California","[55.64178000000004, -161.21506999999997]"
611,Acatenango,3976.0,13045,,Guatemala,", Guatemala","[14.55451000000005, -90.94367999999997]"
612,Piz Roseg,3973.0,13035,,"Bernina Range, Switzerland",", Bernina Range, Switzerland","[46.37361000000004, 9.88295000000005]"
613,Piz Scerscen,3971.0,13028,,"Bernina Range, Switzerland",", Bernina Range, Switzerland","[46.37833000000006, 9.900700000000029]"
614,Eiger,3967.0,13015,,"Bernese Oberland, Switzerland",", Bernese Oberland, Switzerland","[51.2297027, 58.492482]"
615,Mount Tochal,3964.0,13005,,"Alborz, Iran",", Alborz, Iran","[-34.925627, 138.599461]"
616,Black Tooth Mountain,3964.0,13005,,"Bighorn Mountains, Wyoming",", Bighorn Mountains, Wyoming","[44.40274000000005, -107.17561999999998]"
617,Grand Cornier,3962.0,12999,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.05211000000003, 7.611540000000048]"
618,Mount Owen,3957.0,12982,,"Teton Range, Wyoming",", Teton Range, Wyoming","[60.22278000000006, -140.25555999999995]"
619,Ailefroide,3954.0,12972,,"Dauphiné Alps, France",", Dauphiné Alps, France","[44.889620000000036, 6.447410000000048]"
620,Mount Robson,3954.0,12972,,Highest point in the Canadian Rockies,", Highest point in the Canadian Rockies","[53.033859000000064, -119.23158699999999]"
621,Descabezado Grande,3953.0,12969,,Chile,", Chile","[-35.58689999999996, -70.75167999999996]"
622,Yu Shan (Mount Jade),3952.0,12966,,Highest point in Taiwan and East Asia,", Highest point in Taiwan and East Asia","[47.00025000000005, -109.75101999999998]"
623,Mont Pelvoux,3946.0,12946,,"Dauphiné Alps, France",", Dauphiné Alps, France","[44.897260000000074, 6.396270000000072]"
624,Mount Julian,3940.0,12927,,"Colorado, United States",", Colorado, United States","[-20.3817579, 148.610352]"
625,Mount Khalatsa,3938.0,12920,,"Disputed, South Ossetia or Georgia",", Disputed, South Ossetia or Georgia","[39.049934, 26.499616]"
626,Ajusco,3930.0,12894,,Mexico,", Mexico","[19.3126365, -99.1654861]"
627,Mount Erciyes,3916.0,12848,,"Central Anatolia, Turkey",", Central Anatolia, Turkey","[38.665804, 35.469181]"
628,Bomber Mountain,3914.0,12841,,"Bighorn Range, Wyoming, United States",", Bighorn Range, Wyoming, United States","[44.35997000000003, -107.17394999999999]"
629,Pic Sans Nom,3919.0,12858,,"Dauphiné Alps, France",", Dauphiné Alps, France","[44.89336000000003, 6.383500000000026]"
630,Jicarita Peak,3912.0,12835,,"Sangre de Cristo Mountains, New Mexico",", Sangre de Cristo Mountains, New Mexico","[36.05531000000008, -105.56223999999997]"
631,Ortler,3905.0,12812,,Italy South Tyrol,", Italy South Tyrol","[46.550619, 11.58112]"
632,Piz Palü,3905.0,12812,,"Bernina Range, Switzerland",", Bernina Range, Switzerland","[46.37883000000005, 9.960270000000037]"
633,Middle Teton,3903.0,12805,,"Teton Range, Wyoming",", Teton Range, Wyoming","[43.72993000000008, -110.81132999999994]"
634,Aiguille d'Argentière,3902.0,12802,,"Mont Blanc massif, France/Switzerland",", Mont Blanc massif, France/Switzerland","[45.959790000000055, 7.020260000000064]"
635,Granite Peak,3901.0,12799,,"Montana, US – Highest point",", Montana, US – Highest point","[61.74583000000007, -143.86082999999996]"
636,Mount Gibbs,3893.0,12772,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.87715000000003, -119.21181999999999]"
637,Mount Crillon,3879.0,12726,,"Fairweather Range, Alaska, US",", Fairweather Range, Alaska, US","[58.66306000000003, -137.17278]"
638,Mont Blanc de Cheilon,3870.0,12697,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[45.99315000000007, 7.417360000000031]"
639,Aiguille du Goûter,3863.0,12674,,"Graian Alps, Mont Blanc massif, France",", Graian Alps, Mont Blanc massif, France","[12.297400000000039, 43.183260000000075]"
640,Borah Peak,3861.0,12667,,"Idaho, US – Highest point",", Idaho, US – Highest point","[44.137350000000026, -113.78114999999997]"
641,Grande Casse,3855.0,12648,,"Vanoise Massif, France",", Vanoise Massif, France","[45.405860000000075, 6.825770000000034]"
642,Humphreys Peak,3852.0,12638,,"Arizona, US – Highest point",", Arizona, US – Highest point","[35.346400000000074, -111.67848999999995]"
643,Santa Fe Baldy,3847.0,12621,,"Sangre de Cristo Mountains, New Mexico",", Sangre de Cristo Mountains, New Mexico","[35.832250000000045, -105.75834999999995]"
644,Mount Baldwin,3845.0,12615,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[61.62722000000008, -142.17028]"
645,Aiguille du Midi,3842.0,12605,,"Graian Alps, Mont Blanc Massif, France",", Graian Alps, Mont Blanc Massif, France","[45.8794312, 6.8846712]"
646,Mount Moran,3842.0,12605,,"Wyoming, US",", Wyoming, US","[43.835210000000075, -110.77631999999994]"
647,Monte Viso,3841.0,12602,,Italian Alps,", Italian Alps","[44.66760000000005, 7.090510000000052]"
648,Sauyr Zhotasy,3840.0,12598,,Kazakhstan,", Kazakhstan","[47.04773000000006, 85.38799000000006]"
649,Mount Saramati,3826.0,12552,,"Patkai Range, Nagaland, India",", Patkai Range, Nagaland, India","[25.739760000000047, 95.03762000000006]"
650,Nesthorn,3822.0,12539,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.41315000000003, 7.926000000000045]"
651,Cerro Chirripó,3820.0,12533,,Highest in Costa Rica,", Highest in Costa Rica","[9.484110000000044, -83.48860999999994]"
652,Aiguille des Glaciers,3816.0,12520,,"Mont Blanc massif, France/Italy",", Mont Blanc massif, France/Italy","[45.77880000000005, 6.801700000000039]"
653,South Teton,3814.0,12513,,"Teton Range, Wyoming",", Teton Range, Wyoming","[43.718540000000075, -110.81854999999996]"
654,La Râteau,3809.0,12497,,"Dauphiné Alps, France",", Dauphiné Alps, France","[45.001100000000065, 6.280400000000043]"
655,Mount Kerinci,3800.0,12467,,Highest volcano in Indonesia,", Highest volcano in Indonesia","[-1.7975056, 101.2722997]"
656,Grossglockner,3798.0,12461,,Austria – Highest point,", Austria – Highest point","[47.074400000000026, 12.694000000000074]"
657,Pigne d'Arolla,3796.0,12454,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[45.99139000000008, 7.45506000000006]"
658,Mount Erebus,3794.0,12448,,Antarctica – Southernmost active volcano,", Antarctica – Southernmost active volcano","[52.633320000000026, -118.28566999999998]"
659,Mont Pourri,3779.0,12398,,"Vanoise Massif, France",", Vanoise Massif, France","[45.52941000000004, 6.859030000000075]"
660,Mount Fuji,3776.0,12388,,Japan – Highest in Japan,", Japan – Highest in Japan","[35.362960000000044, 138.73076000000003]"
661,Wildspitze,3774.0,12382,,Austria,", Austria","[46.88554000000005, 10.867240000000038]"
662,Greenhorn Mountain,3763.0,12346,,"Wet Mountains, Colorado, US",", Wet Mountains, Colorado, US","[39.74610000000007, -106.88198999999997]"
663,Volcán de Fuego,3763.0,12346,,Guatemala,", Guatemala","[14.474610000000041, -90.88095999999996]"
664,Mount Villard,3760.0,12336,,"Montana, US",", Montana, US","[59.27222000000006, -135.30277999999998]"
665,Teewinot Mountain,3757.0,12326,,"Teton Range, Wyoming, US",", Teton Range, Wyoming, US","[43.74715000000003, -110.78020999999995]"
666,Aiguille du Dru,3754.0,12316,,"Graian Alps, France",", Graian Alps, France","[45.93333000000007, 6.9500000000000455]"
667,Aoraki / Mount Cook,3754.0,12316,,New Zealand – Highest point in New Zealand,", New Zealand – Highest point in New Zealand","[-43.8765367, 170.1199767]"
668,Pointe de Charbonnel,3752.0,12310,,"Graian Alps, France",", Graian Alps, France","[45.28126000000003, 7.06003000000004]"
669,Piz Morteratsch,3751.0,12306,,"Bernina Range, Switzerland",", Bernina Range, Switzerland","[46.40249000000006, 9.901530000000037]"
670,Sawtooth Mountain,3750.0,12303,,"Front Range, Colorado, US",", Front Range, Colorado, US","[60.07722000000007, -160.36971999999997]"
671,Mount Davis,3750.0,12303,,"California, US",", California, US","[35.53777000000008, -114.62913999999995]"
672,Mount Morrison,3750.0,12303,,"California, US",", California, US","[37.56132000000008, -118.85845999999998]"
673,Mount Taibai,3750.0,12303,,"Qin Mountains, China – Highest point east of Tibetan massif",", Qin Mountains, China – Highest point east of Tibetan massif","[33.950000000000045, 107.75000000000006]"
